Portrait,Party,Born,Occupation,Previous Elective Offices,Assumed Office,Term Up,Residence,State,Age,Pop 2019,First Name,Last Name
,Republican,"May 6, 1934",Lawyer,"U.S. House
Alabama Senate","January 3, 1987",2022,Tuscaloosa[3],Alabama,87,"      4,903,185      ",Richard,Shelby
,Republican,"September 18, 1954","College football coach
Partner, investment management firm",None,"January 3, 2021",2026,Auburn,Alabama,66,"      4,903,185      ",Tommy,Tuberville
,Republican,"May 22, 1957",Lawyer,Alaska House of Representatives,"December 20, 2002[d]",2022,Girdwood[4],Alaska,64,"      731,545      ",Lisa,Murkowski
,Republican,"November 13, 1964","U.S. Marine Corps officer
Lawyer
Assistant Secretary of State for Economic and Business Affairs",Alaska Attorney General,"January 3, 2015",2026,Anchorage[5],Alaska,56,"      731,545      ",Dan,Sullivan
,Democratic,"July 12, 1976","Social worker
Political activist
Lawyer
College professor","U.S. House
Arizona Senate
Arizona House of Representatives","January 3, 2019",2024,Phoenix[6],Arizona,44,"      7,278,717      ",Kyrsten,Sinema
,Democratic,"February 21, 1964","U.S. Navy officer
NASA Astronaut
Founder, Americans for Responsible Solutions non-profit organization",None,"December 2, 2020[e]",2022,Tucson,Arizona,57,"      7,278,717      ",Mark,Kelly
,Republican,"December 10, 1950",Optometrist,"U.S. House
Rogers Public Schools Board","January 3, 2011",2022,Rogers[9],Arkansas,70,"      3,017,804      ",John,Boozman
,Republican,"May 13, 1977","Lawyer
United States Army officer",U.S. House,"January 3, 2015",2026,Dardanelle[9],Arkansas,44,"      3,017,804      ",Tom,Cotton
,Democratic,"June 22, 1933","Non-profit organization fellow
Member, California Women's Parole Board","Mayor of San Francisco
San Francisco Board of Supervisors","November 10, 1992[f]",2024,San Francisco[10],California,87,"      39,512,223      ",Dianne,Feinstein
,Democratic,"March 22, 1973",Engineer,"Secretary of State of California
California Senate
Los Angeles City Council President","January 20, 2021[g]",2022,Los Angeles[11],California,48,"      39,512,223      ",Alex,Padilla
,Democratic,"November 28, 1964","Lawyer
Investment company executive
Denver Public Schools Superintendent
Chief of staff to the Mayor of Denver",None,"January 21, 2009[h]",2022,Denver[12],Colorado,56,"      5,758,736      ",Michael,Bennet
,Democratic,"February 7, 1952","Geologist
Businessman","Governor of Colorado
Mayor of Denver","January 3, 2021",2026,Denver[12],Colorado,69,"      5,758,736      ",John,Hickenlooper
,Democratic,"February 13, 1946","Marine Corps Reserve Sergeant
Senate staffer
Lawyer
U.S. Attorney","Connecticut Attorney General
Connecticut Senate
Connecticut House of Representatives","January 3, 2011",2022,Greenwich[13],Connecticut,75,"      3,565,287      ",Richard,Blumenthal
,Democratic,"August 3, 1973","Lawyer
Political campaign manager","U.S. House
Connecticut Senate
Connecticut House of Representatives","January 3, 2013",2024,Cheshire[13],Connecticut,47,"      3,565,287      ",Chris,Murphy
,Democratic,"January 23, 1947","U.S. Navy officer
Staff, Delaware Office of Economic Development","Governor of Delaware
U.S. House
Delaware Treasurer","January 3, 2001",2024,Wilmington[14],Delaware,74,"      973,764      ",Tom,Carper
,Democratic,"September 9, 1963","Nonprofit organization executive
Lawyer","New Castle County, Delaware County Executive
Member, New Castle County Council","November 15, 2010[i]",2026,Wilmington[14],Delaware,57,"      973,764      ",Chris,Coons
,Republican,"May 28, 1971",Lawyer,"Florida House Speaker
West Miami City Commission","January 3, 2011",2022,Miami,Florida,49,"      21,477,737      ",Marco,Rubio
,Republican,"December 1, 1952","Petty officer third class, U.S. Navy
Lawyer
Columbia/HCA CEO
Venture capitalist",Governor of Florida,"January 8, 2019[j]",2024,Naples[15],Florida,68,"      21,477,737      ",Rick,Scott
,Democratic,"February 16, 1987","Investigative journalist
Documentary film producer
U.S. House staffer",None,"January 20, 2021",2026,Atlanta,Georgia,34,"      10,617,423      ",Jon,Ossoff
,Democratic,"July 23, 1969",Pastor,None,"January 20, 2021[k]",2022,Atlanta[16],Georgia,51,"      10,617,423      ",Raphael,Warnock
,Democratic,"October 20, 1972","Teacher
Nonprofit organization executive","Lieutenant Governor of Hawaii
Hawaii House of Representatives","December 26, 2012[l]",2022,Honolulu[17],Hawaii,48,"      1,415,872      ",Brian,Schatz
,Democratic,"November 3, 1947",Lawyer,"U.S. House
Lieutenant Governor of Hawaii
Hawaii House of Representatives","January 3, 2013",2024,Honolulu[17],Hawaii,73,"      1,415,872      ",Mazie,Hirono
,Republican,"May 20, 1951",Lawyer,"U.S. House
Idaho Senate","January 3, 1999",2022,Idaho Falls[18],Idaho,70,"      1,787,065      ",Mike,Crapo
,Republican,"May 3, 1943","Professor
Rancher
Nonprofit organization executive
Lawyer","Governor of Idaho
Lieutenant Governor of Idaho
Idaho Senate President pro tempore","January 3, 2009",2026,Boise[18],Idaho,78,"      1,787,065      ",Jim,Risch
,Democratic,"November 21, 1944","Lawyer
Professor",U.S. House,"January 3, 1997",2026,Springfield[19],Illinois,76,"      12,671,821      ",Dick,Durbin
,Democratic,"March 12, 1968","Army National Guard Officer
Coordinator, Center for Nursing Research, Northern Illinois University.[20]
U.S. Assistant Secretary of Veterans Affairs
Illinois Director of Veterans Affairs",U.S. House,"January 3, 2017",2022,Hoffman Estates[19],Illinois,53,"      12,671,821      ",Tammy,Duckworth
,Republican,"August 24, 1972","Marine Corps Officer
Professor
Consultant
Lawyer",U.S. House,"January 3, 2017",2022,Greenwood[21],Indiana,48,"      6,732,219      ",Todd,Young
,Republican,"March 24, 1954",Businessman,"Indiana House of Representatives
Member, Jasper, Indiana School Board","January 3, 2019",2024,Jasper[22],Indiana,67,"      6,732,219      ",Mike,Braun
,Republican,"September 17, 1933","Farmer
College professor","U.S. House
Iowa House of Representatives","January 3, 1981",2022,New Hartford[23],Iowa,87,"      3,155,070      ",Chuck,Grassley
,Republican,"July 1, 1970","Farmer
Army National Guard officer",Iowa Senate,"January 3, 2015",2026,Red Oak[23],Iowa,50,"      3,155,070      ",Joni,Ernst
,Republican,"May 29, 1954","Banker
Lawyer","U.S. House
Kansas Senate","January 3, 2011",2022,Manhattan[24],Kansas,66,"      2,913,314      ",Jerry,Moran
,Republican,"August 9, 1960","Doctor
Captain, U.S. Army Reserve",U.S. House,"January 3, 2021",2026,Great Bend,Kansas,60,"      2,913,314      ",Roger,Marshall
,Republican,"February 20, 1942","Lawyer
U.S. Senate staff member
Deputy Assistant United States Attorney, U.S. Department of Justice Office of Legislative Affairs","Judge/Executive of Jefferson County, Kentucky","January 3, 1985",2026,Louisville[25],Kentucky,79,"      4,467,673      ",Mitch,McConnell
,Republican,"January 7, 1963",Physician specializing in Ophthalmology,None,"January 3, 2011",2022,Bowling Green[25],Kentucky,58,"      4,467,673      ",Rand,Paul
,Republican,"September 28, 1957",Physician,"U.S. House
Louisiana Senate","January 3, 2015",2026,Baton Rouge[26],Louisiana,63,"      4,648,794      ",Bill,Cassidy
,Republican,"November 21, 1951","Magazine editor
Lawyer
Professor
Staff of Louisiana Governor Buddy Roemer
Secretary of the Louisiana Department of Revenue",Louisiana Treasurer,"January 3, 2017",2022,Madisonville[26],Louisiana,69,"      4,648,794      ",John,Kennedy
,Republican,"December 7, 1952","House staffer
Senate staffer
Regional director, Small Business Administration
Deputy Treasurer of Massachusetts",None,"January 3, 1997",2026,Bangor[27],Maine,68,"      1,344,212      ",Susan,Collins
,Independent,"March 31, 1944","Lawyer
Senate staffer
Business founder
Corporate executive
Public television news program host",Governor of Maine,"January 3, 2013",2024,Brunswick,Maine,77,"      1,344,212      ",Angus,King
,Democratic,"October 5, 1943",Lawyer,"U.S. House
Speaker of the Maryland House of Delegates","January 3, 2007",2024,Baltimore[28],Maryland,77,"      6,045,680      ",Ben,Cardin
,Democratic,"January 10, 1959","U.S. Senate staff member
Maryland Governor's legislative advisor
Lawyer","U.S. House
Maryland Senate
Maryland House of Delegates","January 3, 2017",2022,Kensington[28],Maryland,62,"      6,045,680      ",Chris Van,Hollen
,Democratic,"June 22, 1949","Lawyer
Professor
Research associate
Nonprofit organization executive
COP Chair
CFPB Special Advisor",None,"January 3, 2013",2024,Cambridge[29],Massachusetts,71,"      6,892,503      ",Elizabeth,Warren
,Democratic,"July 11, 1946","Member, United States Army Reserve
Lawyer","U.S. House
Massachusetts House of Representatives","July 16, 2013[m]",2026,Malden[29],Massachusetts,74,"      6,892,503      ",Ed,Markey
,Democratic,"April 29, 1950","Social worker
Leadership training consultant","U.S. House
Michigan House of Representatives
Michigan Senate","January 3, 2001",2024,Lansing[31],Michigan,71,"      9,986,857      ",Debbie,Stabenow
,Democratic,"December 1, 1958","United States Navy Reserve officer
Financial advisor
Lawyer
College professor and lecturer","U.S. House
Michigan Senate","January 3, 2015",2026,Bloomfield Hills[31],Michigan,62,"      9,986,857      ",Gary,Peters
,Democratic,"May 25, 1960",Lawyer,"Hennepin County, Minnesota County Attorney","January 3, 2007",2024,Minneapolis[32],Minnesota,61,"      5,639,632      ",Amy,Klobuchar
